timestamp,gw_ok,wan_ok,dns_ok,client_ok,client_fail,client_ok_ips,client_fail_ips,arp_5s,dhcp_5s,rx_drop_delta,tx_drop_delta,docker_running_count
2026-03-06T23:55:42+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-06T23:56:25+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,3,3,0,6
2026-03-06T23:57:08+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",11,4,4,0,6
2026-03-06T23:57:51+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,3,3,0,6
2026-03-06T23:58:34+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",4,4,3,0,6
2026-03-06T23:59:17+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,1,6,0,6
2026-03-07T00:00:01+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,4,3,0,6
2026-03-07T00:00:44+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,2,3,0,6
2026-03-07T00:01:27+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",16,4,3,0,6
2026-03-07T00:02:10+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,1,3,0,6
2026-03-07T00:02:53+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T00:03:36+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,1,3,0,6
2026-03-07T00:04:19+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,3,0,6
2026-03-07T00:05:02+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,1,3,0,6
2026-03-07T00:05:45+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",14,4,3,0,6
2026-03-07T00:06:28+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,2,5,0,6
2026-03-07T00:07:12+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",11,4,3,0,6
2026-03-07T00:07:55+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,4,3,0,6
2026-03-07T00:08:38+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",10,4,4,0,6
2026-03-07T00:09:21+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,4,3,0,6
2026-03-07T00:10:04+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,3,3,0,6
2026-03-07T00:10:47+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,4,3,0,6
2026-03-07T00:11:30+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,1,3,0,6
2026-03-07T00:12:13+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",8,4,3,0,6
2026-03-07T00:12:56+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,1,3,0,6
2026-03-07T00:13:39+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,4,3,0,6
2026-03-07T00:14:23+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,1,3,0,6
2026-03-07T00:15:06+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,4,3,0,6
2026-03-07T00:15:49+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",4,1,4,0,6
2026-03-07T00:16:32+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,3,0,6
2026-03-07T00:17:15+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,1,3,0,6
2026-03-07T00:17:58+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",12,4,4,0,6
2026-03-07T00:18:41+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",6,2,3,0,6
2026-03-07T00:19:24+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",5,4,3,0,6
2026-03-07T00:20:07+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",10,2,3,0,6
2026-03-07T00:20:50+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,3,0,6
2026-03-07T00:21:33+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",11,2,3,0,6
2026-03-07T00:22:16+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",4,4,4,0,6
2026-03-07T00:23:00+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",9,2,4,0,6
2026-03-07T00:23:43+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",4,4,3,0,6
2026-03-07T00:24:26+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,2,3,0,6
2026-03-07T00:25:09+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",7,4,4,0,6
2026-03-07T00:25:52+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",1,2,3,0,6
2026-03-07T00:26:35+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",3,4,3,0,6
2026-03-07T00:27:18+08:00,1,1,1,2,1,"192.168.100.9|192.168.100.1","192.168.100.176",2,2,4,0,6
